"ภาคเรียน","สัปดาห์ที่","ช่วงวันที่","กิจกรรมวันจันทร์","กิจกรรมวันอังคาร","กิจกรรมวันพุธ","กิจกรรมวันพฤหัสบดี","กิจกรรมวันศุกร์","จำนวนรูปภาพประกอบ","รายชื่อรูปภาพประกอบ"
"ภาคเรียนที่ 1","สัปดาห์ที่ 1","สัปดาห์ที่ 1","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-1/LINE_ALBUM_30526_260814_23.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 2","สัปดาห์ที่ 2","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","2","/uploads/logs/term-1/week-2/LINE_ALBUM_30526_260815_1.jpg | /uploads/logs/term-1/week-2/LINE_ALBUM_30526_260815_2.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 3","สัปดาห์ที่ 3","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","2","/uploads/logs/term-1/week-3/LINE_ALBUM_30526_260814_18.jpg | /uploads/logs/term-1/week-3/LINE_ALBUM_30526_260815_4.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 4","สัปดาห์ที่ 4","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-4/1.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 5","สัปดาห์ที่ 5","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-5/1.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 6","สัปดาห์ที่ 6","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-6/1.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 7","สัปดาห์ที่ 7","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-7/1.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 8","สัปดาห์ที่ 8","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-8/1.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 9","สัปดาห์ที่ 9","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","2","/uploads/logs/term-1/week-9/1.jpg | /uploads/logs/term-1/week-9/2.jpg"
"ภาคเรียนที่ 1","สัปดาห์ที่ 10","สัปดาห์ที่ 10","ปฏิบัติหน้าที่การสอนและเตรียมสื่อการเรียนรู้","ปฏิบัติหน้าที่การสอนและปฐมนิเทศนักเรียน","ปฏิบัติหน้าที่การสอนและตรวจใบงานนักเรียน","ปฏิบัติหน้าที่การสอนและดูแลความเรียบร้อย","สรุปผลการจัดการเรียนรู้ประจำสัปดาห์","1","/uploads/logs/term-1/week-10/1.jpg"
